# file...... csv_output/Transformer_VA_Power.csv
# date...... Tue Jun 19 17:30:07 2018
# user...... Kapil.Duwadi
# host...... (null)
# target.... meter 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_power_A
2014-06-22 01:49:00 PST,+18675.1+0.0853817d
2014-06-22 01:50:00 PST,+17018.5+0.0804146d
2014-06-22 01:51:00 PST,+16408.8+0.0797419d
2014-06-22 01:52:00 PST,+16408.8+0.0797419d
2014-06-22 01:53:00 PST,+16350.9+0.0790854d
2014-06-22 01:54:00 PST,+15805.5+0.0813229d
2014-06-22 01:55:00 PST,+15213+0.07802d
2014-06-22 01:56:00 PST,+15940.5+0.0933024d
2014-06-22 01:57:00 PST,+16384.1+0.102345d
2014-06-22 01:58:00 PST,+17921.2+0.116375d
2014-06-22 01:59:00 PST,+16744.2+0.105183d
2014-06-22 02:00:00 PST,+16364.4+0.100718d
2014-06-22 02:01:00 PST,+17298+0.0987345d
2014-06-22 02:02:00 PST,+16291.1+0.0948735d
2014-06-22 02:03:00 PST,+17001.1+0.0986397d
2014-06-22 02:04:00 PST,+17130.4+0.104539d
2014-06-22 02:05:00 PST,+17636.7+0.109211d
2014-06-22 02:06:00 PST,+18130.1+0.111939d
2014-06-22 02:07:00 PST,+18910.5+0.109951d
2014-06-22 02:08:00 PST,+19800.1+0.11057d
2014-06-22 02:09:00 PST,+20307.6+0.115242d
2014-06-22 02:10:00 PST,+20267.9+0.115073d
2014-06-22 02:11:00 PST,+20694.3+0.109188d
2014-06-22 02:12:00 PST,+20609.7+0.109583d
2014-06-22 02:13:00 PST,+21202.8+0.112835d
2014-06-22 02:14:00 PST,+21010.5+0.116385d
2014-06-22 02:15:00 PST,+21416+0.11445d
2014-06-22 02:16:00 PST,+21086.1+0.110424d
2014-06-22 02:17:00 PST,+20151+0.112123d
2014-06-22 02:18:00 PST,+19743.3+0.118327d
2014-06-22 02:19:00 PST,+20513.5+0.1213d
2014-06-22 02:20:00 PST,+19870.6+0.117671d
2014-06-22 02:21:00 PST,+19001.8+0.108626d
2014-06-22 02:22:00 PST,+18478.9+0.103779d
2014-06-22 02:23:00 PST,+18918.5+0.111613d
2014-06-22 02:24:00 PST,+18513.2+0.113866d
2014-06-22 02:25:00 PST,+16875+0.104095d
2014-06-22 02:26:00 PST,+16875+0.104095d
2014-06-22 02:27:00 PST,+16350.6+0.0974079d
2014-06-22 02:28:00 PST,+15292.7+0.102403d
